"txid","ordertxid","pair","aclass","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers","posttxid","posstatuscode","cprice","ccost","cfee","cvol","cmargin","net","costusd","trades"
"T6TH2F-GGF3G-Q5DOMU","OX6FTT-V4FCJ-YILTWZ","SOL/USD","forex","2024-09-23 03:10:15.6041","sell","limit",147.80000,5.91200,0.01478,0.04000000,0.00000,"","LEZXGK-BPC5B-OQNG25,LLH6UL-K5FEO-OMA3QE","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.91200,""
"TSNZ3K-6OAWM-MH3K7O","OYFHHH-SRBN2-PVTFDW","ADA/USD","forex","2024-09-23 03:11:10.3664","sell","limit",0.357252,28.580160,0.071450,80.00000000,0.000000,"","LJ5FMN-L2LLN-YHAYXU,LSCED5-MCMUD-VDQZMK","TKH2SE-M7IF5-CFI7LT","","","","","","","",28.580160,""
"TJDB3M-2O24W-KJQHM5","OVL4IA-C7GCI-7C4GZM","ADA/USD","forex","2024-09-23 03:17:07.2368","sell","limit",0.358070,7.161400,0.017904,20.00000000,0.000000,"","LSNAQ5-AENO2-MTPF34,LXD3XU-TENYO-LVF6AZ","TKH2SE-M7IF5-CFI7LT","","","","","","","",7.161400,""
"TAWNVL-LZ7SX-LXVQXV","O2WAHB-OFTPS-WMC6A3","SOL/USD","forex","2024-09-23 03:23:28.3221","sell","limit",148.77000,5.95080,0.01488,0.04000000,0.00000,"","LAZPJI-FPSMI-2YUTMB,LFMM2X-XZCDZ-DN3JOK","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.95080,""
"TSQ3NA-EXCQB-K7LFS5","ONLLPU-BTDPD-6KLH54","SOL/USD","forex","2024-09-23 03:47:10.0777","buy","limit",147.78000,5.91120,0.01478,0.04000000,0.00000,"","LRP4RY-DYTS4-UJK5IO,LZSTLB-E62KA-K3HV33","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.91120,""
"T7AGVP-FKJ5F-3B2IMH","O4CMRR-EIW2N-L5GSTO","ADA/USD","forex","2024-09-23 03:58:30.7171","buy","limit",0.357300,7.146000,0.017865,20.00000000,0.000000,"","LA2OKL-6L7PJ-SYTNCP,LZWHDI-5HSUK-YLRUPE","TKH2SE-M7IF5-CFI7LT","","","","","","","",7.146000,""
"TZN5SG-NSCHW-W6AOYL","OAHURV-7OIZV-TR7TPW","BTC/USD","forex","2024-09-23 04:23:53.1154","buy","limit",64152.40000,6.41524,0.01604,0.00010000,0.00000,"","LUAORM-IB5W4-OHFJRD,LICXIT-CAJHM-E4C3QA","TKH2SE-M7IF5-CFI7LT","","","","","","","",6.41524,""
"TQL53K-73XXW-O7HNAF","OEXPKI-EBINE-KRN2VP","ADA/USD","forex","2024-09-23 04:29:36.566","buy","limit",0.355220,7.104400,0.017761,20.00000000,0.000000,"","LHRMVV-YGTEK-3KGYOR,LSM7DY-XXOHT-IE6XNJ","TKH2SE-M7IF5-CFI7LT","","","","","","","",7.104400,""
"T65N7L-ARQX6-TDF2HR","ODYJ7D-2HMIS-XXURFA","SOL/USD","forex","2024-09-23 04:29:45.8087","buy","limit",146.93000,5.87720,0.01469,0.04000000,0.00000,"","LO5N2I-TPFVT-E5RTZX,LWTV5Y-H6TLI-ABASY2","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.87720,""
"TINJQE-L4OQL-BXGNYJ","OFRACB-XDGX4-BI7VQE","ETH/USD","forex","2024-09-23 04:33:24.0351","buy","limit",2664.49000,5.32898,0.01332,0.00200000,0.00000,"","LMWK3U-375NU-3ANLZA,LEGBPJ-QXJ67-C3MKCF","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.32898,""
"T52QD5-2MXAP-Z26MVR","OMWE7B-GRA3B-C4VP7W","ADA/USD","forex","2024-09-23 06:53:20.2496","sell","limit",0.357810,7.156200,0.017891,20.00000000,0.000000,"","LBVMCL-CTCER-UEWDJA,LXMXMO-LWRFH-OWPVFG","TKH2SE-M7IF5-CFI7LT","","","","","","","",7.156200,""
"TSQFKC-B45KT-RQ4MPX","OEAJKW-NPB5W-KE3PHL","BTC/USD","forex","2024-09-23 07:09:49.3082","buy","limit",63541.00000,6.35410,0.01589,0.00010000,0.00000,"","L5QLHQ-WKC5C-AFTIHW,LA247O-H3TNH-Q6IRHK","TKH2SE-M7IF5-CFI7LT","","","","","","","",6.35410,""
"T4FE7R-AHHFF-XT5LDM","O6C62T-YJMPD-27A4XD","ETH/USD","forex","2024-09-23 07:12:17.4035","buy","limit",2647.38000,5.29476,0.01324,0.00200000,0.00000,"","LH5KQU-7BTQC-3TJ3UH,LSMB67-EHBMI-U5HMXX","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.29476,""
"TURO44-V2SY2-X2NKSV","OJDK3C-OSXHR-ZJVALB","SOL/USD","forex","2024-09-23 07:18:12.963","buy","limit",145.92000,5.83680,0.01459,0.04000000,0.00000,"","LRKUB6-45XQA-MKUEH6,LFYRJK-NEZA5-R7KXLR","TKH2SE-M7IF5-CFI7LT","","","","","","","",5.83680,""
"TG3FNC-Q45XF-CVV4HG","OZY6UF-FD3IH-FKOPSL","ADA/USD","forex","2024-09-23 07:33:11.7217","buy","limit",0.354160,7.083200,0.017708,20.00000000,0.000000,"","LTHSWE-U5HET-PGOJB6,LAHYHK-PYPEQ-PTDFI3","TKH2SE-M7IF5-CFI7LT","","","","","","","",7.083200,""
